confidence,last_seen,observed,relationship,source,target,weight,evidence_id,evidence_origin,mapping_basis
,,1,produces_rule,CONTROL:C012,RULE:110011,1.0,EV-edbc29fe032937a9,canonical_edge_row_78,
,,1,alerted_in,RULE:110011,PLATFORM:Wazuh,1.0,EV-ac55c748f8a70e8b,canonical_edge_row_79,
,,1,detects_technique,CONTROL:C012,MITRE:T1018,1.0,EV-844f948c3bd4a80d,canonical_edge_row_80,
,,1,protected_by,ASSET:A01,CONTROL:C013,0.8,EV-85bfb60b2df68cb1,canonical_edge_row_81,
,,1,uses_log_source,CONTROL:C013,LOGSOURCE:Sysmon,1.0,EV-b9a8b89b00ec523f,canonical_edge_row_82,
,,1,produces_rule,CONTROL:C013,RULE:110012,1.0,EV-b743b67dec72b9a7,canonical_edge_row_83,
,,1,alerted_in,RULE:110012,PLATFORM:Wazuh,1.0,EV-3ae06e753240f76d,canonical_edge_row_84,
,,1,detects_technique,CONTROL:C013,MITRE:T1049,1.0,EV-811c62bee20a66b6,canonical_edge_row_85,
,,1,protected_by,ASSET:A07,CONTROL:C014,1.0,EV-a1dbe5dbf16647ef,canonical_edge_row_86,
,,1,uses_log_source,CONTROL:C014,LOGSOURCE:pfsense_syslog,1.0,EV-2bc7f999bbe11301,canonical_edge_row_87,
,,1,produces_rule,CONTROL:C014,RULE:110200,1.0,EV-07eb5b78874c3e45,canonical_edge_row_88,
,,1,alerted_in,RULE:110200,PLATFORM:Wazuh,1.0,EV-80834863cb1bba9c,canonical_edge_row_89,
,,1,detects_technique,CONTROL:C014,MITRE:T1046,1.0,EV-b0e33c47482fce4e,canonical_edge_row_90,
,,1,protected_by,ASSET:A07,CONTROL:C015,1.0,EV-4e217aada3214dda,canonical_edge_row_91,
,,1,uses_log_source,CONTROL:C015,LOGSOURCE:pfsense_syslog,1.0,EV-85cab2294eb1753f,canonical_edge_row_92,
,,1,produces_rule,CONTROL:C015,RULE:110201,1.0,EV-8b8cf150b6991422,canonical_edge_row_93,
,,1,alerted_in,RULE:110201,PLATFORM:Wazuh,1.0,EV-856754b712760898,canonical_edge_row_94,
,,1,detects_technique,CONTROL:C015,MITRE:T1046,1.0,EV-77e67f1aa0ab1358,canonical_edge_row_95,
,,1,protected_by,ASSET:A07,CONTROL:C016,1.2,EV-ee771c87f2012d8c,canonical_edge_row_96,
,,1,uses_log_source,CONTROL:C016,LOGSOURCE:pfsense_syslog,1.0,EV-2f5bfecc424b91f2,canonical_edge_row_97,
,,1,produces_rule,CONTROL:C016,RULE:110203,1.0,EV-5b000fe8aa889773,canonical_edge_row_98,
,,1,alerted_in,RULE:110203,PLATFORM:Wazuh,1.0,EV-235ffd386ce01445,canonical_edge_row_99,
,,1,detects_technique,CONTROL:C016,MITRE:T1071.001,1.0,EV-5ffbc935b52caccc,canonical_edge_row_100,
,,1,protected_by,ASSET:A04,CONTROL:C017,0.7,EV-0daa1109a4906202,canonical_edge_row_101,
,,1,uses_log_source,CONTROL:C017,LOGSOURCE:Security,1.0,EV-2815378655491ab8,canonical_edge_row_102,
,,1,produces_rule,CONTROL:C017,RULE:110223,1.0,EV-edfa5565b606d0e5,canonical_edge_row_103,
,,1,alerted_in,RULE:110223,PLATFORM:Wazuh,1.0,EV-6fe20df919bbc016,canonical_edge_row_104,
,,1,detects_technique,CONTROL:C017,MITRE:T1078,1.0,EV-656871234c360cd9,canonical_edge_row_105,
,,1,protected_by,ASSET:A04,CONTROL:C018,1.0,EV-afeb10ecca6087c6,canonical_edge_row_106,
,,1,uses_log_source,CONTROL:C018,LOGSOURCE:Sysmon,1.0,EV-73b30fd9318a3b1c,canonical_edge_row_107,
,,1,produces_rule,CONTROL:C018,RULE:110220,1.0,EV-1663e7bc4af8e704,canonical_edge_row_108,
,,1,alerted_in,RULE:110220,PLATFORM:Wazuh,1.0,EV-0f2a6c7858ea101c,canonical_edge_row_109,
,,1,detects_technique,CONTROL:C018,MITRE:T1087,1.0,EV-1a1f7f72dd0c03e2,canonical_edge_row_110,
,,1,protected_by,ASSET:A04,CONTROL:C019,0.9,EV-ddd07a5661f4fdfb,canonical_edge_row_111,
,,1,uses_log_source,CONTROL:C019,LOGSOURCE:PowerShell,1.0,EV-6a83b1f821c63bb9,canonical_edge_row_112,
,,1,produces_rule,CONTROL:C019,RULE:110222,1.0,EV-e2394de4d4cec2e3,canonical_edge_row_113,
,,1,alerted_in,RULE:110222,PLATFORM:Wazuh,1.0,EV-d96e39b76771d88d,canonical_edge_row_114,
,,1,detects_technique,CONTROL:C019,MITRE:T1059.001,1.0,EV-a728d1d2a0417c6f,canonical_edge_row_115,
,,1,protected_by,ASSET:A05,CONTROL:C020,1.0,EV-de371aae78844a93,canonical_edge_row_116,
,,1,uses_log_source,CONTROL:C020,LOGSOURCE:authlog,1.0,EV-cdfd18a4bd1d7f92,canonical_edge_row_117,
,,1,produces_rule,CONTROL:C020,RULE:110230,1.0,EV-7c5eb38c19ea7608,canonical_edge_row_118,
,,1,alerted_in,RULE:110230,PLATFORM:Wazuh,1.0,EV-dacb1d83e090fc0a,canonical_edge_row_119,
,,1,detects_technique,CONTROL:C020,MITRE:T1110,1.0,EV-3f8482d92008707a,canonical_edge_row_120,
,,1,protected_by,ASSET:A05,CONTROL:C021,0.8,EV-46f87120da927f8f,canonical_edge_row_121,
,,1,uses_log_source,CONTROL:C021,LOGSOURCE:syslog,1.0,EV-fdac64a11abb10fe,canonical_edge_row_122,
,,1,produces_rule,CONTROL:C021,RULE:110231,1.0,EV-e9a8102600056a0b,canonical_edge_row_123,
,,1,alerted_in,RULE:110231,PLATFORM:Wazuh,1.0,EV-8128397451725beb,canonical_edge_row_124,
,,1,detects_technique,CONTROL:C021,MITRE:T1082,1.0,EV-a1292914377ee0e4,canonical_edge_row_125,
,,1,protected_by,ASSET:A05,CONTROL:C022,1.0,EV-173d33220e238f6b,canonical_edge_row_126,
,,1,uses_log_source,CONTROL:C022,LOGSOURCE:process,1.0,EV-50bf908796100303,canonical_edge_row_127,
,,1,produces_rule,CONTROL:C022,RULE:110232,1.0,EV-54f5174fed67edf0,canonical_edge_row_128,
,,1,alerted_in,RULE:110232,PLATFORM:Wazuh,1.0,EV-d63e158afa8cd25c,canonical_edge_row_129,
,,1,detects_technique,CONTROL:C022,MITRE:T1046,1.0,EV-3f64c7bc4b3e62fb,canonical_edge_row_130,
,,1,protected_by,ASSET:A04,CONTROL:C023,0.7,EV-e2f33874cdbc87e1,canonical_edge_row_131,
,,1,uses_log_source,CONTROL:C023,LOGSOURCE:Security,1.0,EV-ce887ee6b02e8a39,canonical_edge_row_132,
,,1,produces_rule,CONTROL:C023,RULE:110240,1.0,EV-e410ffd4ea04e58e,canonical_edge_row_133,
